Protein(g),Carbs(g),Fat(g),Diet_type_mediterranean,Diet_type_vegan,Cuisine_Group_Amerika,Cuisine_Group_Eropa,Cluster
59.46,65.69,67.7,0.0,1.0,1.0,0.0,0
16.32,119.85000000000001,87.03999999999999,0.0,1.0,0.0,1.0,1
29.92,164.72,38.37,0.0,1.0,1.0,0.0,0
9.19,136.89,228.0,0.0,1.0,1.0,0.0,0
26.33,36.65,29.47,0.0,1.0,1.0,0.0,0
28.33,194.44,41.45,0.0,1.0,1.0,0.0,0
3.15,28.35,4.84,0.0,1.0,1.0,0.0,0
7.0,31.619999999999997,8.68,0.0,1.0,1.0,0.0,0
30.84,247.00000000000003,16.36,0.0,1.0,1.0,0.0,0
80.07,223.02,266.4,0.0,1.0,1.0,0.0,0
10.93,37.1,41.71,0.0,1.0,1.0,0.0,0
30.9,196.29,153.5,0.0,1.0,1.0,0.0,0
43.88,239.08000000000004,154.42,0.0,1.0,1.0,0.0,0
78.57,442.46,59.910000000000004,0.0,1.0,1.0,0.0,0
18.65,106.31,15.27,0.0,1.0,1.0,0.0,0
7.27,173.78,51.9,0.0,1.0,1.0,0.0,0
104.19,316.86,49.68,0.0,1.0,1.0,0.0,0
64.61,290.67,54.0,0.0,1.0,1.0,0.0,0
71.67,244.32999999999998,64.8,0.0,1.0,1.0,0.0,0
98.26,403.51,48.13999999999999,0.0,1.0,1.0,0.0,0
52.07,60.559999999999995,56.37,0.0,1.0,1.0,0.0,0
74.67,242.04,66.9,0.0,1.0,1.0,0.0,0
37.1,298.65,73.61,0.0,1.0,1.0,0.0,0
27.49,328.04,84.0,0.0,1.0,1.0,0.0,0
25.13,212.46,16.39,0.0,1.0,0.0,1.0,1
130.69,183.5,96.88,0.0,1.0,0.0,1.0,1
35.18,28.08,155.98,0.0,1.0,1.0,0.0,0
2.4,16.16,82.56,0.0,1.0,1.0,0.0,0
45.97,391.64,27.27,0.0,1.0,1.0,0.0,0
10.76,16.9,79.51,0.0,1.0,1.0,0.0,0
85.38,300.79,83.5,0.0,1.0,1.0,0.0,0
41.81,212.07,100.08999999999999,0.0,1.0,1.0,0.0,0
185.31,22.83,93.78,0.0,1.0,1.0,0.0,0
67.37,327.18,59.52,0.0,1.0,1.0,0.0,0
11.66,96.4,54.73,0.0,1.0,1.0,0.0,0
12.67,77.56,12.17,0.0,1.0,1.0,0.0,0
63.86,303.01,67.49,0.0,1.0,1.0,0.0,0
79.69,262.1,130.71,0.0,1.0,1.0,0.0,0
22.05,31.410000000000004,44.91,0.0,1.0,1.0,0.0,0
28.19,112.52,25.87,0.0,1.0,1.0,0.0,0
106.33,309.79,144.92,0.0,1.0,1.0,0.0,0
21.17,120.27000000000001,41.1,0.0,1.0,1.0,0.0,0
43.71,343.61,198.67,0.0,1.0,1.0,0.0,0
20.29,25.97,96.69,0.0,1.0,1.0,0.0,0
22.36,316.56,118.11,0.0,1.0,1.0,0.0,0
37.56,101.22,88.18,0.0,1.0,0.0,1.0,1
70.45,43.51,63.81,0.0,1.0,1.0,0.0,0
62.89999999999999,181.19,31.820000000000004,0.0,1.0,1.0,0.0,0
43.54,417.73,112.33999999999999,0.0,1.0,1.0,0.0,0
121.33,340.49,177.38,0.0,1.0,1.0,0.0,0
23.33,339.8,113.64,0.0,1.0,0.0,1.0,1
28.5,296.05,112.24,0.0,1.0,1.0,0.0,0
33.07,422.0,94.49,0.0,1.0,1.0,0.0,0
86.64,434.2,76.53,0.0,1.0,1.0,0.0,0
61.879999999999995,199.46,65.27,0.0,1.0,1.0,0.0,0
15.59,69.3,0.97,0.0,1.0,1.0,0.0,0
57.85,227.15,105.16,0.0,1.0,1.0,0.0,0
102.31,337.22,197.22,0.0,1.0,1.0,0.0,0
37.62,152.18,196.5,0.0,1.0,1.0,0.0,0
47.7,190.91,70.41,0.0,1.0,1.0,0.0,0
38.94,333.75,88.42,0.0,1.0,1.0,0.0,0
66.43,400.61,228.71,0.0,1.0,0.0,1.0,1
116.89,316.1,45.52,0.0,1.0,1.0,0.0,0
10.48,94.15,67.01,0.0,1.0,1.0,0.0,0
61.67,276.87,37.83,0.0,1.0,1.0,0.0,0
8.66,83.05,46.09,0.0,1.0,1.0,0.0,0
18.2,105.12,32.85,0.0,1.0,1.0,0.0,0
62.25,90.89,110.76999999999998,0.0,1.0,1.0,0.0,0
50.68,309.97,200.92,0.0,1.0,1.0,0.0,0
4.65,77.96,4.75,0.0,1.0,1.0,0.0,0
3.12,9.71,5.39,0.0,1.0,1.0,0.0,0
63.63999999999999,457.67,101.36000000000001,0.0,1.0,1.0,0.0,0
37.56,101.22,80.74,0.0,1.0,1.0,0.0,0
72.96,427.95,33.85,0.0,1.0,1.0,0.0,0
141.85,361.97,150.89,0.0,1.0,1.0,0.0,0
7.01,45.29,7.68,0.0,1.0,1.0,0.0,0
23.14,313.45,51.00999999999999,0.0,1.0,1.0,0.0,0
75.54,201.64,83.46,0.0,1.0,1.0,0.0,0
83.47,343.82,132.41,0.0,1.0,1.0,0.0,0
85.33,299.08,87.91,0.0,1.0,1.0,0.0,0
17.39,209.12,171.18,0.0,1.0,1.0,0.0,0
57.88,212.55,153.01,0.0,1.0,1.0,0.0,0
67.2,375.92,56.82,0.0,1.0,1.0,0.0,0
8.25,28.23,8.52,0.0,1.0,1.0,0.0,0
14.45,190.05,130.85,0.0,1.0,1.0,0.0,0
40.99,112.72,125.04000000000002,0.0,1.0,1.0,0.0,0
12.4,57.01,20.99,0.0,1.0,1.0,0.0,0
8.61,15.68,36.19,0.0,1.0,1.0,0.0,0
19.52,191.74,165.39,0.0,1.0,1.0,0.0,0
59.11,49.68,0.38,0.0,1.0,1.0,0.0,0
6.02,127.9,1.98,0.0,1.0,1.0,0.0,0
117.97,329.04,33.72,0.0,1.0,1.0,0.0,0
114.96,383.39,128.65,0.0,1.0,1.0,0.0,0
36.04,307.12,110.7,0.0,1.0,1.0,0.0,0
28.42,30.95,99.52,0.0,1.0,1.0,0.0,0
26.72,385.51,193.03,0.0,1.0,1.0,0.0,0
1.09,99.98,0.24,0.0,1.0,1.0,0.0,0
19.93,100.18,134.96,0.0,1.0,1.0,0.0,0
35.61,115.72999999999999,43.49,0.0,1.0,0.0,1.0,1
125.93000000000002,357.2,139.6,0.0,1.0,1.0,0.0,0
16.02,42.41,54.27,0.0,1.0,0.0,1.0,1
7.27,143.81,160.91,0.0,1.0,1.0,0.0,0
73.62,221.55,34.38,0.0,1.0,1.0,0.0,0
74.84,234.13000000000002,70.8,0.0,1.0,1.0,0.0,0
17.2,98.28,15.52,0.0,1.0,1.0,0.0,0
25.52,107.14,61.4,0.0,1.0,1.0,0.0,0
8.66,99.05,14.91,0.0,1.0,1.0,0.0,0
38.86,89.46,101.6,0.0,1.0,1.0,0.0,0
31.57,95.83,112.33999999999999,0.0,1.0,1.0,0.0,0
5.79,222.43,5.759999999999999,0.0,1.0,1.0,0.0,0
46.49,138.98,128.96,0.0,1.0,1.0,0.0,0
13.42,177.68,9.47,0.0,1.0,1.0,0.0,0
29.84,63.90999999999999,92.41,0.0,1.0,1.0,0.0,0
12.36,151.54,97.35,0.0,1.0,1.0,0.0,0
17.21,115.94000000000001,180.87,0.0,1.0,1.0,0.0,0
21.18,84.51,72.18,0.0,1.0,0.0,1.0,1
7.62,17.64,9.59,0.0,1.0,1.0,0.0,0
83.58,32.84,153.89,0.0,1.0,1.0,0.0,0
17.34,91.39,115.59,0.0,1.0,1.0,0.0,0
54.8,225.11,31.22,0.0,1.0,1.0,0.0,0
28.33,85.11,94.31,0.0,1.0,1.0,0.0,0
18.95,373.66,70.16,0.0,1.0,1.0,0.0,0
6.02,308.57,4.73,0.0,1.0,1.0,0.0,0
32.45,368.31,113.84,0.0,1.0,1.0,0.0,0
61.81000000000001,46.18,75.54,0.0,1.0,1.0,0.0,0
8.8,139.47,2.19,0.0,1.0,1.0,0.0,0
35.58,262.82,7.89,0.0,1.0,1.0,0.0,0
30.739999999999995,84.99,104.24000000000001,0.0,1.0,0.0,1.0,1
32.14,190.38,39.93,0.0,1.0,1.0,0.0,0
11.9,143.33,92.97,0.0,1.0,1.0,0.0,0
27.2,102.17,42.17000000000001,0.0,1.0,1.0,0.0,0
29.06,223.51,111.76,0.0,1.0,1.0,0.0,0
8.56,146.03,42.54,0.0,1.0,1.0,0.0,0
29.25,102.35,62.48,0.0,1.0,1.0,0.0,0
33.83,108.25,14.19,0.0,1.0,1.0,0.0,0
17.48,100.57,44.06,0.0,1.0,0.0,1.0,1
34.66,266.45,64.99,0.0,1.0,1.0,0.0,0
18.36,47.61,162.93,0.0,1.0,1.0,0.0,0
54.91,264.71,49.650000000000006,0.0,1.0,1.0,0.0,0
78.97,245.02,44.98,0.0,1.0,1.0,0.0,0
18.23,31.249999999999996,43.86,0.0,1.0,1.0,0.0,0
120.28,197.28,115.52999999999999,0.0,1.0,1.0,0.0,0
3.6,13.98,71.09,0.0,1.0,1.0,0.0,0
57.58,46.33,29.68,0.0,1.0,1.0,0.0,0
34.34,48.42,50.87,0.0,1.0,1.0,0.0,0
59.07,262.48,42.64,0.0,1.0,0.0,1.0,1
17.32,106.32,57.73,0.0,1.0,1.0,0.0,0
11.88,169.1,97.21,0.0,1.0,1.0,0.0,0
45.72,211.44,86.92,0.0,1.0,1.0,0.0,0
20.77,90.18,59.75999999999999,0.0,1.0,1.0,0.0,0
6.77,102.28,23.030000000000005,0.0,1.0,1.0,0.0,0
9.15,39.7,43.86,0.0,1.0,1.0,0.0,0
76.01,132.07,50.95,0.0,1.0,1.0,0.0,0
